type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,experiment_type,trial_nudge,nudge_index,accepted_default,chose_nudge,og_baskets,actual_baskets,num_features,cost,reaction_time,trial_type,trial_index,time_elapsed,nudge_type,participant_id
mouselab,False,"[1, 1, 0, 0]","[[5, 6], [5, 7], [4, 4], [5, 5], [1, 3]]","[[0, 0], [2, 2], [2, 2], [2, 2], [2, 2]]","[12, 5, 6, 6, 1]",12,12,1,0.055,0.05366666666666667,0.0013333333333333333,"[1, 0]",default,control,1,False,True,2,2,5,2,4821,implicit-mouselab,16,498675,default,1
mouselab,False,[],"[[2, 8, 5, 4, 5], [5, 4, 4, 7, 1], [4, 6, 7, 6, 6], [7, 6, 6, 7, 4], [4, 6, 8, 2, 4]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[1, 1, 12, 5, 11]",22,13,2,0.07,0.07,0.0,[],default,default,2,True,True,5,5,5,2,2578,implicit-mouselab,17,503457,default,1
mouselab,False,[],"[[6, 5], [4, 5]]","[[2, 2], [2, 2]]","[11, 19]",8,14,0,0.047,0.047,0.0,[],default,default,0,True,True,2,2,2,2,5385,implicit-mouselab,18,510106,default,1
mouselab,False,"[20, 20, 22, 22]","[[4, 3, 8, 5, 3], [5, 6, 8, 5, 5], [6, 7, 6, 5, 4], [6, 5, 5, 6, 4], [3, 6, 5, 7, 6]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 2, 0, 2, 2]]","[7, 7, 5, 3, 8]",8,15,3,0.056,0.05466666666666667,0.0013333333333333333,"[20, 22]",default,control,2,False,False,5,5,5,2,6286,implicit-mouselab,19,518490,default,1
mouselab,False,"[0, 0, 4, 4, 2, 2]","[[6, 4, 7, 5, 6], [1, 3, 5, 6, 2], [6, 4, 4, 6, 3], [7, 6, 4, 6, 7], [4, 8, 5, 4, 3]]","[[0, 2, 0, 2, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[11, 5, 9, 2, 3]",16,16,2,0.054,0.052,0.002,"[0, 4, 2]",default,control,3,False,False,5,5,5,2,7409,implicit-mouselab,20,527165,default,1
mouselab,False,[],"[[6, 6], [3, 5]]","[[2, 2], [2, 2]]","[18, 12]",6,17,1,0.056,0.056,0.0,[],default,default,1,True,True,2,2,2,2,2304,implicit-mouselab,21,531531,default,1
mouselab,False,[],"[[5, 5], [3, 5]]","[[2, 2], [2, 2]]","[8, 22]",14,18,1,0.05,0.05,0.0,[],default,default,1,True,True,2,2,2,2,2289,implicit-mouselab,22,535185,default,1
mouselab,False,"[0, 0]","[[7, 5], [6, 7]]","[[0, 2], [2, 2]]","[27, 3]",24,19,0,0.069,0.06833333333333334,0.0006666666666666666,[0],default,control,0,False,True,2,2,2,2,3636,implicit-mouselab,23,539920,default,1
mouselab,False,[],"[[4, 5, 5, 4, 7], [3, 5, 3, 6, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[17, 13]",4,20,4,0.061,0.061,0.0,[],default,default,4,True,True,5,5,2,2,3484,implicit-mouselab,24,544920,default,1
mouselab,False,[],"[[4, 8], [6, 6]]","[[2, 2], [2, 2]]","[23, 7]",16,21,1,0.075,0.075,0.0,[],default,default,1,True,True,2,2,2,2,2342,implicit-mouselab,25,548852,default,1
mouselab,False,"[20, 20, 22, 22]","[[5, 4, 7, 6, 2], [1, 5, 5, 8, 2], [4, 5, 4, 4, 7], [1, 5, 6, 6, 7], [3, 3, 9, 5, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 2, 0, 2, 2]]","[1, 4, 3, 7, 15]",20,22,2,0.072,0.07066666666666666,0.0013333333333333333,"[20, 22]",default,default,2,False,True,5,5,5,2,5867,implicit-mouselab,26,556387,default,1
mouselab,False,"[0, 0, 2, 2, 3, 3]","[[6, 3, 5, 8, 10], [2, 5, 4, 5, 6], [5, 4, 2, 4, 9], [5, 7, 7, 10, 5], [4, 2, 6, 2, 4]]","[[0, 2, 0, 0, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[16, 7, 2, 2, 3]",22,23,3,0.066,0.064,0.002,"[0, 2, 3]",default,control,4,False,False,5,5,5,2,6238,implicit-mouselab,27,564070,default,1
mouselab,False,[],"[[7, 8, 6, 3, 8], [2, 3, 4, 6, 3]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[11, 19]",8,24,2,0.047,0.047,0.0,[],default,control,4,False,False,5,5,2,2,2777,implicit-mouselab,28,568717,default,1
mouselab,False,[],"[[4, 3, 7, 9, 6], [4, 4, 5, 5, 3], [4, 4, 4, 4, 7], [3, 4, 5, 6, 4], [6, 4, 1, 2, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[8, 2, 12, 7, 1]",18,25,3,0.058,0.058,0.0,[],default,default,3,True,True,5,5,5,2,1935,implicit-mouselab,29,572191,default,1
mouselab,False,[],"[[7, 2, 7, 2, 2], [5, 6, 6, 6, 8]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[14, 16]",2,26,1,0.041,0.041,0.0,[],default,control,2,False,False,5,5,2,2,2788,implicit-mouselab,30,576408,default,1
mouselab,False,"[0, 0, 1, 1]","[[1, 4], [2, 6]]","[[0, 0], [2, 2]]","[27, 3]",24,27,1,0.042,0.04066666666666667,0.0013333333333333333,"[0, 1]",default,control,1,False,True,2,2,2,2,3811,implicit-mouselab,31,581690,default,1
mouselab,False,"[0, 0, 1, 1]","[[5, 2], [7, 5]]","[[0, 0], [2, 2]]","[29, 1]",28,28,0,0.051,0.049666666666666665,0.0013333333333333333,"[0, 1]",default,control,0,False,True,2,2,2,2,3883,implicit-mouselab,32,586982,default,1
