type,is_practice,original_item_cost,sale_item_cost,click_values,payoff_matrix,cost_matrix,weights,highlight_weight,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,sale_type,is_control,sale_index,trial_type,trial_index,time_elapsed,highlight_option_value,maximized_highlighted_option,highlight_num_clicks,num_highlight_reveals,participant_id
traffic-light-mouselab,True,3,1,"[6, 6, 6, 3, 3, 3, 10]","[[2, 7, 5, 7, 6], [4, 8, 4, 8, 5], [5, 7, 6, 4, 6]]","[[3, 3, 3, 0, 3], [3, 0, 3, 3, 3], [0, 1, 1, 1, 1]]","[5, 2, 23]",23,26,1,1,0.071,0.06866666666666665,0.0023333333333333335,"[6, 3, 10]",3,5,3,30236,7,212,205,none,False,2,traffic-light-mouselab,4,520264,7,1,1,1,1
traffic-light-mouselab,True,3,1,"[4, 4, 8, 8, 8, 0, 0, 0, 11, 11, 11]","[[5, 3, 2, 5, 3], [9, 5, 5, 7, 3], [4, 4, 5, 6, 4]]","[[0, 3, 3, 3, 1], [3, 3, 3, 0, 3], [3, 0, 3, 3, 3]]","[14, 4, 12]",4,12,2,3,0.057,0.05333333333333334,0.0036666666666666666,"[8, 0, 11]",3,5,3,140958,11,170,159,none,True,1,traffic-light-mouselab,5,665426,7,0,3,1,1
traffic-light-mouselab,False,3,1,"[5, 5, 5, 8, 8, 8, 2, 2, 2, 0, 0, 0, 4, 4, 4]","[[3, 2, 6, 3, 7], [5, 9, 2, 5, 6], [6, 4, 8, 3, 3]]","[[0, 3, 0, 3, 0], [0, 3, 3, 0, 3], [3, 3, 3, 3, 3]]","[1, 21, 8]",21,22,3,4,0.052,0.047,0.005,"[5, 8, 2, 0, 4]",5,5,3,24015,15,157,142,none,True,1,traffic-light-mouselab,7,705094,6,0,6,2,1
traffic-light-mouselab,False,3,1,"[5, 5, 5, 8, 8, 8, 11, 1, 1, 1, 4, 4, 4]","[[6, 3, 5, 3, 4], [5, 5, 3, 2, 9], [6, 4, 4, 5, 6]]","[[3, 0, 3, 3, 0], [0, 3, 3, 0, 3], [1, 0, 1, 1, 1]]","[6, 4, 20]",20,20,4,0,0.059,0.05466666666666666,0.004333333333333333,"[5, 8, 11, 1, 4]",5,5,3,22825,13,176,163,none,False,2,traffic-light-mouselab,8,731564,6,1,1,1,1
traffic-light-mouselab,False,3,1,"[10, 10, 10]","[[2, 3, 9, 7, 6], [6, 6, 5, 5, 4], [7, 8, 5, 5, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 3, 3, 3, 3]]","[20, 6, 4]",4,20,5,0,0.035,0.034,0.001,[10],1,5,3,7033,3,104,101,none,True,2,traffic-light-mouselab,9,750080,7,0,3,1,1
traffic-light-mouselab,False,3,1,"[8, 8, 8]","[[4, 3, 5, 6, 3], [6, 7, 4, 9, 4], [6, 4, 6, 2, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 0, 3], [3, 3, 3, 3, 3]]","[26, 1, 3]",26,32,6,3,0.057,0.056,0.001,[8],1,5,3,7064,3,171,168,none,True,0,traffic-light-mouselab,10,761594,6,1,0,0,1
traffic-light-mouselab,False,3,1,"[5, 5, 5, 8, 8, 8, 11, 11, 11, 12, 12, 12, 13, 13, 13]","[[5, 4, 5, 7, 6], [4, 6, 5, 7, 4], [6, 6, 5, 5, 4]]","[[3, 3, 3, 3, 3], [0, 3, 3, 0, 3], [3, 0, 0, 0, 3]]","[13, 15, 2]",15,16,7,3,0.069,0.064,0.005,"[5, 8, 11, 12, 13]",5,5,3,18384,15,206,191,none,True,1,traffic-light-mouselab,11,782545,7,1,6,2,1
traffic-light-mouselab,False,3,1,"[10, 11, 12, 13, 14, 2, 2, 2]","[[7, 7, 8, 4, 3], [6, 3, 4, 4, 5], [4, 5, 5, 5, 4]]","[[3, 3, 0, 3, 3], [3, 3, 3, 3, 3], [0, 0, 0, 0, 0]]","[3, 26, 1]",1,32,8,2,0.044,0.04133333333333333,0.0026666666666666666,"[10, 11, 12, 13, 14, 2]",6,5,3,14366,8,133,125,none,False,2,traffic-light-mouselab,12,802825,5,1,5,5,1
traffic-light-mouselab,False,3,1,"[5, 5, 5, 6, 6, 6, 7, 7, 7, 9, 9, 9, 8, 8, 8, 13, 13, 13, 10, 10, 10]","[[7, 2, 4, 4, 3], [7, 5, 3, 8, 5], [6, 4, 4, 4, 8]]","[[3, 3, 3, 3, 3], [0, 0, 0, 0, 0], [0, 3, 3, 0, 3]]","[12, 7, 11]",11,6,9,0,0.066,0.059000000000000004,0.007,"[5, 6, 7, 9, 8, 13, 10]",7,5,3,23285,21,199,178,none,True,2,traffic-light-mouselab,13,830401,6,0,6,2,1
traffic-light-mouselab,False,3,1,"[0, 0, 0, 3, 3, 3, 2, 2, 2, 1, 1, 1, 4, 4, 4, 9, 9, 9, 6, 6, 6, 14, 14, 14]","[[5, 5, 5, 4, 7], [7, 3, 5, 6, 5], [7, 8, 9, 7, 6]]","[[0, 0, 0, 0, 0], [3, 0, 3, 3, 0], [3, 3, 3, 3, 0]]","[1, 8, 21]",21,22,10,4,0.058,0.05,0.008,"[0, 3, 2, 1, 4, 9, 6, 14]",8,5,3,24807,24,173,149,none,True,2,traffic-light-mouselab,14,857222,6,0,3,1,1
