type,is_practice,original_item_cost,sale_item_cost,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,sale_type,is_control,sale_index,trial_type,trial_index,time_elapsed,highlight_option_value,maximized_highlighted_option,highlight_num_clicks,highlight_weight,num_highlight_reveals,participant_id
traffic-light-mouselab,False,3,1,"[10, 10, 10, 2, 2, 2, 6, 6, 6, 8, 8, 8, 4, 4, 4]","[[6, 3, 6, 4, 5], [6, 5, 5, 7, 4], [3, 2, 5, 6, 5]]","[[3, 3, 0, 3, 0], [3, 0, 3, 0, 3], [0, 3, 3, 3, 3]]","[10, 18, 2]",16,5,3,0.059,0.054,0.005,"[10, 2, 6, 8, 4]",5,5,3,14737,15,178,163,medium,True,0,traffic-light-mouselab,9,335359,4,0,6,10,2,1
traffic-light-mouselab,False,3,1,"[6, 2, 2, 2, 13, 13, 13, 10, 10, 10, 9]","[[4, 5, 3, 4, 5], [8, 3, 4, 6, 2], [3, 4, 5, 4, 7]]","[[3, 3, 0, 3, 3], [1, 0, 1, 1, 0], [0, 3, 3, 0, 3]]","[10, 2, 18]",16,6,3,0.041,0.037333333333333336,0.0036666666666666666,"[6, 2, 13, 10, 9]",5,5,3,12535,11,124,113,low,False,1,traffic-light-mouselab,10,350330,6,0,2,2,2,1
traffic-light-mouselab,False,3,1,"[10, 10, 10, 6, 6, 6, 6, 1, 1, 1, 1, 12, 8, 8, 8, 14, 4, 4, 4]","[[8, 4, 7, 2, 3], [2, 5, 3, 6, 6], [6, 6, 7, 4, 8]]","[[3, 0, 3, 3, 0], [3, 0, 3, 0, 3], [0, 1, 0, 1, 0]]","[10, 2, 18]",16,7,4,0.062,0.057,0.005,"[10, 6, 1, 12, 8, 14, 4]",7,5,3,9865,15,186,171,hi,False,2,traffic-light-mouselab,11,368649,8,1,5,18,3,1
traffic-light-mouselab,False,3,1,"[11, 11, 11, 0, 0, 0, 7, 7, 7, 14, 14, 14, 8, 8, 8]","[[3, 5, 6, 4, 5], [6, 5, 5, 4, 2], [3, 6, 4, 5, 4]]","[[0, 3, 3, 3, 3], [3, 3, 0, 0, 3], [3, 0, 3, 3, 0]]","[18, 10, 2]",16,8,1,0.051,0.046,0.005,"[11, 0, 7, 14, 8]",5,5,3,10418,15,152,137,hi,True,0,traffic-light-mouselab,12,381874,5,0,3,18,1,1
traffic-light-mouselab,False,3,1,"[10, 6, 6, 6, 2, 2, 2, 8, 8, 8, 9, 9, 9, 12, 11]","[[4, 5, 6, 5, 3], [9, 6, 5, 4, 5], [4, 7, 5, 7, 4]]","[[3, 3, 0, 3, 3], [3, 0, 3, 0, 0], [0, 0, 0, 1, 1]]","[10, 2, 18]",16,9,1,0.063,0.058,0.005,"[10, 6, 2, 8, 9, 12, 11]",7,5,3,12660,15,188,173,hi,False,2,traffic-light-mouselab,13,396842,7,1,3,18,3,1
traffic-light-mouselab,False,3,1,"[0, 0, 0, 0, 6, 6, 6, 6, 2, 2, 2, 13, 13, 13, 4, 4, 4]","[[6, 4, 7, 6, 6], [3, 3, 6, 7, 4], [2, 5, 4, 5, 6]]","[[0, 3, 0, 3, 0], [3, 0, 3, 3, 3], [3, 3, 3, 0, 3]]","[2, 18, 10]",16,10,2,0.054,0.049,0.005,"[0, 6, 2, 13, 4]",5,5,3,9779,15,162,147,low,True,0,traffic-light-mouselab,14,408739,7,1,10,2,3,1
traffic-light-mouselab,False,3,1,"[10, 10, 10, 6, 8, 2, 2, 2, 2, 9, 9]","[[5, 5, 4, 6, 2], [6, 5, 7, 7, 9], [6, 10, 5, 4, 6]]","[[3, 3, 0, 3, 3], [1, 0, 1, 0, 0], [0, 3, 3, 3, 3]]","[2, 18, 10]",16,11,4,0.075,0.072,0.003,"[10, 6, 8, 2, 9]",5,5,3,9261,9,226,217,hi,False,1,traffic-light-mouselab,15,419820,9,1,4,18,3,1
traffic-light-mouselab,False,3,1,"[14, 14, 14, 12, 12, 12, 1, 1, 1, 5, 8, 9]","[[6, 6, 6, 7, 6], [4, 7, 6, 4, 7], [4, 8, 3, 6, 7]]","[[3, 0, 3, 3, 3], [0, 1, 1, 0, 0], [3, 3, 0, 3, 0]]","[10, 18, 2]",16,12,4,0.067,0.063,0.004,"[14, 12, 1, 5, 8, 9]",6,5,3,12123,12,200,188,hi,False,1,traffic-light-mouselab,16,435166,7,1,3,18,3,1
traffic-light-mouselab,False,3,1,"[10, 10, 10, 10, 7, 7, 7, 1, 1, 1, 13, 13, 13, 9, 9, 9]","[[1, 7, 5, 5, 5], [4, 3, 4, 6, 3], [5, 6, 7, 5, 4]]","[[3, 0, 3, 3, 3], [3, 3, 0, 3, 0], [0, 3, 3, 0, 3]]","[2, 18, 10]",16,13,1,0.043,0.038,0.005,"[10, 7, 1, 13, 9]",5,5,3,10772,15,128,113,low,True,0,traffic-light-mouselab,17,447752,7,1,3,2,1,1
traffic-light-mouselab,False,3,1,"[12, 12, 12, 2, 2, 2, 6, 6, 6, 0, 0, 0, 13, 13, 13, 4, 4, 4, 10, 10, 10]","[[6, 4, 1, 5, 4], [5, 6, 5, 5, 4], [6, 4, 4, 3, 6]]","[[0, 3, 0, 3, 0], [3, 0, 3, 3, 3], [0, 3, 0, 0, 3]]","[2, 10, 18]",16,14,0,0.057,0.05,0.007,"[12, 2, 6, 0, 13, 4, 10]",7,5,3,13521,21,170,149,medium,True,1,traffic-light-mouselab,18,463214,5,0,3,10,1,1
