type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_variance,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,trial_nudge,nudge_index,accepted_default,accepted_supersize,chose_default,chose_supersize,num_baskets,num_features,cost,trial_type,trial_index,time_elapsed,internal_node_id,prolific_pid,study_id,session_id,nudge_type,participant_id
mouselab,False,[],"[[8, 3], [6, 6], [5, 2], [7, 5], [6, 6]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[1, 1, 3, 2, 3]",0.8,21,0,0.061,0.061,0.0,[],control,-1,False,False,False,False,2,5,2,implicit-mouselab,23,195035,0.0-3.0-20.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[4, 5, 3, 5, 5, 4, 5], [5, 7, 6, 6, 6, 3, 4], [6, 7, 4, 6, 6, 6, 3], [7, 5, 0, 8, 7, 6, 4], [4, 2, 6, 6, 3, 4, 4]]","[[3, 3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3, 3]]","[4, 2, 2, 1, 1]",1.2,22,3,0.058,0.058,0.0,[],control,-1,False,False,False,False,7,5,3,implicit-mouselab,24,197634,0.0-3.0-21.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[10, 4, 3, 4, 7, 4, 10], [6, 7, 4, 6, 5, 5, 3], [5, 4, 7, 6, 5, 5, 3], [8, 6, 7, 4, 6, 7, 7], [3, 4, 5, 6, 8, 5, 5]]","[[4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4]]","[2, 3, 1, 2, 2]",0.4,23,5,0.052,0.052,0.0,[],control,-1,False,False,False,False,7,5,4,implicit-mouselab,25,199723,0.0-3.0-22.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[6, 6, 6, 10, 4, 3, 4], [7, 3, 8, 3, 4, 4, 4], [7, 5, 7, 8, 2, 6, 4], [3, 1, 5, 9, 2, 5, 6], [7, 6, 4, 7, 6, 3, 4]]","[[4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4]]","[1, 2, 2, 4, 1]",1.2,24,2,0.06,0.06,0.0,[],default,3,False,False,False,False,7,5,4,implicit-mouselab,26,203663,0.0-3.0-23.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,True,"[3, 3, 19, 19, 22, 22, 12, 12, 7, 7, 34, 34, 20, 20, 27, 27, 25, 25, 24, 24, 17, 17, 10, 10, 31, 31, 15, 15, 8, 8, 1, 1, 2, 2, 4, 4, 5, 5, 6, 6, 0, 0, 14, 14, 16, 16, 9, 9, 11, 11, 18, 18, 26, 26, 33, 33, 32, 32, 13, 13, 23, 23, 30, 30, 29, 29, 28, 28, 21, 21, 32]","[[0, 7, 6, 5, 8, 4, 6], [5, 5, 3, 7, 5, 4, 5], [3, 6, 7, 2, 4, 5, 6], [7, 5, 5, 6, 4, 3, 6], [6, 1, 5, 6, 6, 4, 5]]","[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]","[5, 1, 2, 1, 1]",2.4,1,4,0.063,-0.007000000000000006,0.07,"[3, 19, 22, 12, 7, 34, 20, 27, 25, 24, 17, 10, 31, 15, 8, 1, 2, 4, 5, 6, 0, 14, 16, 9, 11, 18, 26, 33, 32, 13, 23, 30, 29, 28, 21]",control,-1,False,False,False,False,7,5,2,implicit-mouselab,4,216766,0.0-3.0-1.0,5d40688398eff00001b7f3de,5faed821735c4c09a01dbe66,5faed8c43af98c098fd57f52,default,3
mouselab,True,[],"[[6, 10], [5, 5]]","[[3, 3], [3, 3]]","[6, 4]",1.0,2,0,0.056,0.056,0.0,[],control,-1,False,False,False,False,2,2,3,implicit-mouselab,5,227576,0.0-3.0-2.0,5d40688398eff00001b7f3de,5faed821735c4c09a01dbe66,5faed8c43af98c098fd57f52,default,3
mouselab,False,[],"[[5, 3, 4, 5, 5, 6, 7], [6, 4, 3, 2, 6, 4, 5], [6, 4, 5, 6, 3, 5, 4], [7, 5, 3, 7, 4, 4, 3], [4, 2, 7, 4, 4, 6, 4]]","[[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1]]","[2, 1, 2, 2, 3]",0.4,5,6,0.045,0.045,0.0,[],default,6,True,False,True,False,7,5,1,implicit-mouselab,7,238031,0.0-3.0-4.0,5d40688398eff00001b7f3de,5faed821735c4c09a01dbe66,5faed8c43af98c098fd57f52,default,3
mouselab,False,[],"[[7, 4, 5, 2, 4, 7, 4], [1, 6, 4, 4, 4, 6, 5]]","[[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1]]","[1, 9]",16.0,6,0,0.016,0.016,0.0,[],default,0,True,False,True,False,7,2,1,implicit-mouselab,8,243743,0.0-3.0-5.0,5d40688398eff00001b7f3de,5faed821735c4c09a01dbe66,5faed8c43af98c098fd57f52,default,3
mouselab,False,[],"[[6, 7], [8, 6]]","[[2, 2], [2, 2]]","[6, 4]",1.0,7,1,0.066,0.066,0.0,[],control,-1,False,False,False,False,2,2,2,implicit-mouselab,9,249087,0.0-3.0-6.0,5d40688398eff00001b7f3de,5faed821735c4c09a01dbe66,5faed8c43af98c098fd57f52,default,3
mouselab,False,[],"[[3, 3], [6, 5]]","[[3, 3], [3, 3]]","[5, 5]",0.0,8,1,0.04,0.04,0.0,[],control,-1,False,False,False,False,2,2,3,implicit-mouselab,10,254991,0.0-3.0-7.0,5d40688398eff00001b7f3de,5faed821735c4c09a01dbe66,5faed8c43af98c098fd57f52,default,3
