"","type","is_practice","click_values","payoff_matrix","cost_matrix","weights","weights_deviation","trial_num","selected_option","gross_earnings","net_earnings","click_cost","uncovered_values","num_values_revealed","nudge_type","num_baskets","num_features","reaction_time","points_click_cost","points_action_utility","points_metalevel_reward","problem_id","trial_type","trial_index","time_elapsed","participant_id"
"32","mouselab","False","[]","[[4, 3, 6, 6, 4], [8, 7, 4, 5, 3], [5, 1, 6, 4, 7], [6, 5, 4, 3, 6], [3, 8, 6, 6, 6]]","[[2, 2, 2, 2, 2], [0, 2, 2, 2, 0], [2, 2, 2, 2, 0], [2, 2, 0, 0, 2], [2, 2, 2, 0, 2]]","[1, 2, 4, 5, 18]",24,32,3,0.052,0.052,0,"[]",0,"greedy",5,5,4331,0,155,155,5992678152867065856,"attentional-mouselab",36,667726,0
"33","mouselab","True","[13, 13, 8, 8]","[[5, 4, 2, 3, 9], [3, 7, 7, 7, 4], [6, 1, 4, 1, 6], [3, 3, 4, 9, 3], [6, 4, 10, 4, 5]]","[[2, 2, 2, 0, 0], [2, 0, 2, 2, 0], [2, 2, 2, 2, 2], [2, 2, 2, 0, 2], [2, 2, 2, 0, 2]]","[6, 13, 1, 7, 3]",16,1,3,0.062,0.0606666666666667,0.00133333333333333,"[13, 8]",2,"random",5,5,15704,4,185,181,9756388240355188736,"attentional-mouselab",4,123582,1
"34","mouselab","True","[5, 5, 20, 20, 2, 2, 18, 18]","[[4, 4, 3, 8, 1], [6, 5, 5, 7, 3], [6, 1, 2, 3, 4], [6, 4, 7, 8, 6], [4, 5, 5, 6, 7]]","[[0, 2, 2, 2, 2], [2, 2, 0, 2, 2], [0, 0, 2, 0, 2], [0, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[2, 10, 8, 5, 5]",12,2,3,0.06,0.0573333333333333,0.00266666666666667,"[5, 20, 2, 18]",4,"random",5,5,15703,8,180,172,15124496326205227008,"attentional-mouselab",5,142853,1
"35","mouselab","False","[12, 12]","[[6, 5, 8, 4, 6], [5, 5, 7, 6, 4], [6, 6, 6, 4, 9], [2, 2, 6, 4, 7], [7, 5, 5, 6, 4]]","[[2, 2, 0, 2, 2], [2, 2, 0, 2, 2], [2, 2, 2, 2, 0], [2, 0, 0, 2, 2], [0, 2, 2, 2, 2]]","[6, 5, 6, 7, 6]",2,3,2,0.064,0.0633333333333333,0.000666666666666667,"[12]",1,"greedy",5,5,5150,2,191,189,1755953932508255488,"attentional-mouselab",7,152831,1
"36","mouselab","False","[14, 14, 24, 24, 10, 10, 12, 12]","[[1, 5, 5, 4, 2], [5, 1, 5, 5, 8], [3, 3, 7, 6, 6], [3, 5, 7, 5, 7], [4, 4, 1, 2, 4]]","[[0, 2, 0, 2, 2], [2, 0, 2, 2, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 0, 0, 2]]","[9, 5, 1, 9, 6]",12,4,4,0.05,0.0473333333333333,0.00266666666666667,"[14, 24, 10, 12]",4,"extreme",5,5,16604,8,151,143,1.3978845886108e+19,"attentional-mouselab",8,171270,1
"37","mouselab","False","[12, 12]","[[9, 1, 8, 3, 5], [5, 7, 4, 7, 5], [4, 6, 6, 5, 7], [5, 6, 7, 5, 5], [6, 8, 7, 2, 4]]","[[2, 0, 0, 2, 2], [2, 2, 0, 2, 2], [2, 0, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 0, 0, 2]]","[5, 2, 14, 8, 1]",20,5,2,0.065,0.0643333333333333,0.000666666666666667,"[12]",1,"random",5,5,5544,2,195,193,10728131733677604864,"attentional-mouselab",9,178492,1
"38","mouselab","False","[19, 19, 6, 6, 17, 17]","[[7, 7, 4, 5, 4], [5, 5, 8, 7, 8], [5, 4, 5, 6, 2], [6, 6, 5, 5, 6], [6, 8, 8, 5, 6]]","[[2, 0, 2, 2, 2], [2, 2, 2, 2, 0], [0, 0, 2, 2, 0], [2, 2, 2, 2, 2], [2, 2, 0, 2, 2]]","[7, 8, 1, 13, 1]",20,6,4,0.059,0.057,0.002,"[19, 6, 17]",3,"extreme",5,5,7862,6,178,172,9457994541270157312,"attentional-mouselab",10,189821,1
"39","mouselab","False","[5, 5, 8, 8, 2, 2, 6, 6]","[[6, 2, 5, 8, 4], [3, 5, 5, 4, 7], [5, 4, 4, 7, 4], [7, 7, 5, 5, 2], [7, 5, 5, 4, 6]]","[[2, 2, 2, 0, 0], [2, 2, 2, 2, 0], [2, 2, 2, 2, 2], [0, 2, 2, 2, 2], [0, 2, 0, 2, 2]]","[3, 18, 3, 5, 1]",24,7,3,0.049,0.0463333333333333,0.00266666666666667,"[5, 8, 2, 6]",4,"greedy",5,5,12689,8,146,138,5996841966507962368,"attentional-mouselab",11,204276,1
"40","mouselab","False","[]","[[7, 5, 4, 5, 6], [2, 4, 3, 7, 6], [8, 6, 5, 6, 7], [5, 7, 5, 7, 5], [7, 6, 6, 3, 4]]","[[0, 2, 2, 2, 2], [2, 0, 2, 0, 2], [0, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 2, 2, 2, 0]]","[3, 7, 4, 15, 1]",20,8,0,0.05,0.05,0,"[]",0,"greedy",5,5,2418,0,149,149,1.2142532938358e+19,"attentional-mouselab",12,208146,1
"41","mouselab","False","[]","[[5, 5, 7, 6, 3], [8, 5, 3, 6, 2], [4, 2, 8, 3, 6], [5, 5, 7, 5, 2], [5, 6, 5, 7, 4]]","[[2, 2, 0, 2, 0], [2, 2, 2, 2, 2], [0, 0, 0, 2, 2], [2, 2, 2, 2, 0], [2, 2, 2, 2, 2]]","[12, 6, 7, 2, 3]",14,9,2,0.062,0.062,0,"[]",0,"extreme",5,5,2924,0,187,187,5436091006106421248,"attentional-mouselab",13,212455,1
